,customerID,tenure,MonthlyCharges,TotalCharges,Churn,Contract_One year,Contract_Two year,Dependents_Yes,DeviceProtection_Yes,gender_Male,InternetService_Fiber optic,InternetService_No,MultipleLines_No phone service,MultipleLines_Yes,OnlineBackup_Yes,OnlineSecurity_Yes,PaperlessBilling_Yes,Partner_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,PhoneService_Yes,SeniorCitizen_1,StreamingMovies_Yes,StreamingTV_Yes,TechSupport_Yes
0,7590-VHVEG,-1.2802480369298874,-1.1616939352451685,-0.9941940877241977,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
1,5575-GNVDE,0.06430268518835193,-0.2608779199297493,-0.17373981825040724,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
2,3668-QPYBK,-1.2395040756535771,-0.3639232943754246,-0.9596491092068434,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0
3,7795-CFOCW,0.512486259227765,-0.747850415293989,-0.19524770717404732,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
4,9237-HQITU,-1.2395040756535771,0.19617817640187488,-0.94045745447498,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
5,9305-CDSKC,-0.9950403079957154,1.1584890119510036,-0.6453692184426381,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0
6,1452-KIOVK,-0.42462485012737144,0.8078023344020117,-0.14731268909089865,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0
7,6713-OKOMC,-0.9135523854430948,-1.1650179795821258,-0.8741690378436584,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
8,7892-POOKP,-0.18016108246950976,1.3296772953043026,0.33651554451135574,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1
9,6388-TABGU,1.2051336009250397,-0.28747027462540753,0.5314762853391823,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
